Inp_1,Inp_2,Inp_3,Inp_4,Inp_5,Inp_6,Inp_7,Inp_8,Leb
-0.898837568,9.669225302,-0.003832786,1.692049887,-0.021545402,-5.200540485,49.97496668,0.370467075,-7.395284962
-0.924257843,9.712012996,-0.002728767,1.688126098,-0.021166249,-5.201592854,49.48851047,0.326760931,-7.395284962
-0.940580885,9.748640819,-0.00163128,1.684500141,-0.020992125,-5.19957089,49.00053957,0.283120374,-7.395284962
-0.94888259,9.772616779,-0.000621353,1.681603658,-0.02078941,-5.19741273,48.51173217,0.239822709,-7.395284962
-0.951634052,9.7849615,0.00028671,1.679472693,-0.020553163,-5.195201307,48.02256291,0.197008206,-7.395284962
-0.951402301,9.790080298,0.001085716,1.678123773,-0.020277103,-5.193010348,47.53330354,0.154713745,-7.450217441
-0.950173563,9.79080099,0.001774335,1.677557093,-0.019954312,-5.190902806,47.04410311,0.112903976,-7.450217441
-0.949428411,9.788836617,0.002499061,1.675795303,-0.019577758,-5.188929181,46.55503891,0.071488874,-7.450217441
-0.950401516,9.785223344,0.003021369,1.676699841,-0.019140533,-5.187126395,46.06614837,0.030416564,-7.711146715
-0.952304486,9.780585988,0.003446558,1.678348283,-0.018637617,-5.185521877,45.5774495,-0.010384711,-9.523918517
-0.955703564,9.775299162,0.003783659,1.680714093,-0.01806459,-5.184129737,45.08895259,-0.05157514,-12.24307622
-0.974638586,9.769594634,0.0040546,1.683801961,-0.01740561,-5.182923401,44.60066174,-0.095462564,-15.05836576
-1.049057737,9.76363497,0.004316441,1.68770268,-0.016610443,-5.181787029,44.11256997,-0.145585426,-17.18699931
-1.210540695,9.757524654,0.004653785,1.692565619,-0.015601773,-5.180544737,43.62465598,-0.205234077,-17.69512474
-1.455973658,9.751325823,0.004413154,1.701155925,-0.014305734,-5.179014826,43.13688801,-0.275787538,-18.18951705
-1.741066492,9.745071751,0.006209209,1.704353143,-0.013546201,-5.16972208,42.64923756,-0.355891696,-19.34309911
-1.999011191,9.738780807,0.008308774,1.708316219,-0.012192969,-5.162522171,42.16168737,-0.44301635,-21.30693523
-2.199063966,9.732467803,0.010625565,1.713197002,-0.010685745,-5.154074134,41.67422385,-0.53535765,-23.3119707
-2.357378268,9.726145921,0.013087416,1.719187551,-0.009051442,-5.144423912,41.18682087,-0.632662299,-24.60288396
-2.512303613,9.719823706,0.015658427,1.726518742,-0.007282533,-5.133575567,40.69943485,-0.735515662,-25.34447242
-2.68583225,9.713502729,0.018326851,1.735405714,-0.005351678,-5.121534715,40.21201749,-0.844107827,-25.86633097
-2.86869136,9.70718014,0.021079063,1.745998052,-0.00323953,-5.108346505,39.72453104,-0.957769271,-26.443122
-3.038582405,9.700853446,0.023888605,1.758380698,-0.001234988,-5.089546402,39.23695414,-1.07526738,-27.18471046
-3.179744772,9.694523041,0.026721668,1.772598482,0.001163341,-5.073559752,38.7492764,-1.195378832,-27.4181735
-3.29106922,9.688191618,0.029549192,1.788681209,0.003714914,-5.05669828,38.2614914,-1.317173948,-27.4181735
-3.379329813,9.681859936,0.032352769,1.806648151,0.006408936,-5.039007134,37.77360377,-1.439712352,-27.4181735
-3.443389578,9.675526875,0.03511658,1.826484852,0.009232439,-5.02053586,37.28563021,-1.562048586,-27.43190661
-3.482347756,9.669192293,0.037826495,1.848153856,0.012170349,-5.001330173,36.79759221,-1.683431822,-27.43190661
-3.500928702,9.662857078,0.040474013,1.871611225,0.015210324,-4.9814201,36.30950967,-1.803384899,-27.43190661
-3.506344249,9.656522162,0.043057619,1.896813789,0.018344889,-4.960817066,35.82139846,-1.921659645,-27.43190661
-3.504858114,9.650188201,0.045581317,1.923721149,0.02157057,-4.939515075,35.33327022,-2.038163907,-27.43190661
-3.500879393,9.643855614,0.047782617,1.955903593,0.024886304,-4.917491822,34.84513345,-2.152890095,-27.23964294
-3.496873305,9.637524652,0.050020091,1.987315145,0.0282918,-4.894710443,34.35699726,-2.265824732,-26.26459144
-3.492657626,9.631194797,0.052219016,2.020319819,0.03178533,-4.871123875,33.86888815,-2.376678342,-23.71023117
-3.47970998,9.624862939,0.053429577,2.058518225,0.035356586,-4.846692204,33.38089387,-2.484295371,-19.90615702
-3.430630923,9.618522089,0.056598059,2.090273263,0.054320823,-4.908223333,32.89321737,-2.586107512,-16.61020829
-3.299178418,9.612166538,0.059733916,2.122858727,0.057865205,-4.879952395,32.40616143,-2.678678222,-14.56397345
-3.053843161,9.605801201,0.06271962,2.156103462,0.061296904,-4.851116913,31.92000627,-2.759441288,-14.41290913
-2.717719466,9.599438574,0.065455395,2.1898839,0.064479285,-4.82155439,31.43487592,-2.828106915,-14.22064546
-2.361762124,9.593089498,0.067902267,2.224192411,0.067340481,-4.79104903,30.95068152,-2.886881108,-12.32547494
-2.068886804,9.586755104,0.070094248,2.259143869,0.069887871,-4.759349294,30.46724827,-2.938586501,-9.867246509
-1.863581289,9.580427568,0.072088686,2.294849001,0.072160532,-4.726285021,29.98449584,-2.984585574,-8.960860609
-1.700264011,9.574100123,0.073905725,2.331309152,0.074170531,-4.691846931,29.50245069,-3.024916888,-8.960860609
-1.534557373,9.567774436,0.075374842,2.369044658,0.075904588,-4.656122786,29.02111695,-3.0598833,-8.782330053
-1.374860072,9.561454747,0.077046338,2.405962002,0.077368934,-4.619194226,28.54042877,-3.090499012,-7.560082399
-1.246295483,9.55514153,0.078627959,2.443351638,0.078659763,-4.581429746,28.06031082,-3.117769966,-4.758525978
-1.150043766,9.548832039,0.080147276,2.48124667,0.078528353,-4.529987673,27.58077732,-3.14170015,-3.907072557
-1.050930849,9.542522604,0.0815841,2.519661367,0.080088861,-4.491980959,27.10195009,-3.161234617,-3.907072557
-0.909161529,9.536214356,0.083554891,2.560410488,0.081567307,-4.453927366,26.6238855,-3.176047135,-3.852140078
-0.750264123,9.529910152,0.0844596,2.602145323,0.082901162,-4.415616763,26.14652642,-3.18689441,-3.852140078
-0.615232851,9.523610195,0.085240275,2.643933626,0.084074657,-4.376853952,25.6697607,-3.194968486,-3.838406958
-0.522833623,9.5173136,0.085924909,2.685856361,0.085099922,-4.337500024,25.19347208,-3.20140942,-3.838406958
-0.473698102,9.511019631,0.08654821,2.727969599,0.086000455,-4.297473845,24.7175717,-3.207041568,-3.838406958
-0.457428577,9.504727855,0.087140774,2.770301637,0.086799981,-4.256744553,24.24200829,-3.212318411,-3.838406958
-0.460256015,9.498438073,0.087915334,2.81198099,0.087517575,-4.215317745,23.76676389,-3.217390308,-3.74227512
-0.47010763,9.49215023,0.088988547,2.852594485,0.08830306,-4.173900492,23.29184362,-3.222211525,-2.437628748
-0.4786677,9.485864277,0.090244075,2.892678668,0.089400741,-4.133563237,22.8172859,-3.22646445,-0.295262074
-0.473834956,9.479579621,0.091679319,2.932222801,0.090595266,-4.093325422,22.34321258,-3.229166231,0.350194553
-0.425154764,9.473295716,0.093256187,2.971193172,0.091848202,-4.053216971,21.86979311,-3.229020029,0.363927672
-0.315757916,9.467013665,0.094909314,3.00958901,0.093103625,-4.013277824,21.39710234,-3.225559764,0.363927672
-0.180434628,9.460734401,0.096589851,3.047557893,0.094332318,-3.973468762,20.92509618,-3.21924781,0.624856947
-0.06167572,9.454457649,0.098270872,3.085377374,0.095537878,-3.933692065,20.45367487,-3.21091884,1.778439002
0.02086392,9.448182984,0.099925835,3.123405259,0.09673652,-3.893827482,19.98276236,-3.201170247,3.563744564
0.075942449,9.441910305,0.101503574,3.162026143,0.097932363,-3.853762683,19.51237471,-3.189890582,4.23666743
0.137281247,9.435639943,0.102930734,3.201511572,0.099096064,-3.81342336,19.04259993,-3.176471729,4.264133669
0.231219042,9.429372327,0.101093633,3.260469217,0.100190904,-3.772815084,18.57348348,-3.160661515,4.401464866
0.341943528,9.423107035,0.100227343,3.313168939,0.101133305,-3.731711441,18.10499232,-3.1427679,5.733577478
0.440823768,9.416843316,0.09941168,3.3646812,0.10191925,-3.690030114,17.63707409,-3.123198487,6.55756466
0.521070464,9.410581598,0.098690241,3.414875157,0.102532375,-3.647671271,17.16973015,-3.101961691,6.55756466
0.603060084,9.404322487,0.098091707,3.463552588,0.099657462,-3.585293039,16.70296532,-3.079050293,7.216754406
0.687548493,9.398065414,0.097647317,3.510524661,0.09888947,-3.535740676,16.2367497,-3.0546904,9.510185397
0.761101132,9.391810111,0.097403774,3.555632441,0.098147394,-3.486987978,15.7710894,-3.028854965,11.3916228
0.83808201,9.385558385,0.097398181,3.598671063,0.09743563,-3.439092473,15.30608531,-3.000909544,11.91348135
0.95621488,9.379311857,0.097634065,3.639370294,0.09672614,-3.392174791,14.84183833,-2.970263291,11.98214694
1.116279009,9.373069121,0.098137064,3.677427829,0.095991521,-3.346339842,14.37834706,-2.936987847,13.08079652
1.278762722,9.366827112,0.098882802,3.71293879,0.095263693,-3.301703278,13.9155343,-2.901592892,15.36049439
1.413917461,9.360585787,0.099930691,3.745927644,0.094532446,-3.258159279,13.45335912,-2.864320731,18.06591897
1.536594855,9.354348869,0.101270743,3.776606567,0.093846957,-3.215852385,12.99187632,-2.824827503,19.09590295
