Inp_1,Inp_2,Inp_3,Inp_4,Inp_5,Inp_6,Inp_7,Inp_8,Leb
0.913059788,10.28192571,-0.015660736,4.009055048,-0.033835047,-2.89820198,49.76693828,-1.028283288,3.646143282
0.781169083,10.27539376,-0.015789382,3.993575589,-0.035084919,-2.90788174,49.25393132,-0.997710533,3.646143282
0.653114803,10.26886543,-0.015981532,3.978794585,-0.03620633,-2.917874691,48.7411496,-0.971912848,3.577477684
0.554425913,10.26234043,-0.01628205,3.964789552,-0.037216874,-2.928249803,48.22863067,-0.949118214,3.440146487
0.49309179,10.25581814,-0.016430917,3.948767122,-0.038142082,-2.939072133,47.71640298,-0.927914109,3.344014649
0.462398118,10.24929813,-0.016994619,3.936133128,-0.038824385,-2.952443066,47.20448252,-0.907487275,3.330281529
0.449750782,10.2427802,-0.017746223,3.924255384,-0.039639636,-2.964107571,46.69287612,-0.887485531,3.27534905
0.445042006,10.23626435,-0.018678742,3.913054112,-0.040404138,-2.976324803,46.18158582,-0.867801044,3.26161593
0.442708756,10.22975061,-0.019777138,3.902431056,-0.041116314,-2.989118739,45.6706111,-0.848465645,3.179217212
0.439458965,10.22323899,-0.021021733,3.892281046,-0.041772475,-3.002506331,45.15995103,-0.829535182,2.574959945
0.43467582,10.21672946,-0.022391582,3.882496846,-0.042369086,-3.016498935,44.64960214,-0.811223637,0.92698558
0.424578587,10.21022178,-0.023862402,3.872983782,-0.042899877,-3.031091841,44.13954944,-0.79445924,-1.009384298
0.391847401,10.2037155,-0.025395261,3.863691165,-0.043343805,-3.046235192,43.62976037,-0.781282512,-2.849622339
0.308655565,10.19721078,-0.02847877,3.862040926,-0.044502839,-3.055647059,43.12019642,-0.774119373,-4.497596704
0.163714532,10.19070866,-0.028184552,3.844801125,-0.045010121,-3.068734038,42.61082616,-0.774864371,-6.310368505
-0.03200135,10.18421007,-0.027564542,3.826994782,-0.045368949,-3.081361573,42.10162893,-0.784507774,-7.724879835
-0.257490318,10.1777154,-0.026662126,3.809091018,-0.045545384,-3.093487872,41.59259076,-0.803308418,-8.727397574
-0.49500728,10.17122457,-0.025535071,3.791541429,-0.045520379,-3.105082718,41.08370693,-0.830684667,-10.03204395
-0.723119499,10.16473695,-0.024252642,3.774729947,-0.045293172,-3.116146695,40.57498045,-0.865463605,-11.40535592
-0.925937309,10.15825219,-0.022886474,3.758958588,-0.044876583,-3.126703397,40.06641053,-0.906649086,-12.1606775
-1.107115349,10.15177058,-0.02149133,3.744468106,-0.044279988,-3.1367661,39.55799084,-0.953521757,-12.2293431
-1.273271326,10.14529167,-0.020102324,3.73142645,-0.043506922,-3.146347899,39.04972249,-1.005055705,-12.57267109
-1.415747547,10.13881373,-0.018749732,3.719903873,-0.042568761,-3.155494681,38.54162094,-1.059776891,-13.91851682
-1.521569406,10.13233601,-0.017465142,3.709889183,-0.04148871,-3.164280026,38.03369751,-1.11664916,-15.07209888
-1.601452508,10.12586064,-0.016263298,3.701357045,-0.040281093,-3.172747417,37.52593686,-1.175780812,-15.77248798
-1.686389128,10.11938929,-0.015315723,3.697923694,-0.039186884,-3.177122551,37.01830965,-1.237677956,-15.86861982
-1.78796269,10.11292118,-0.014453344,3.694008093,-0.037737195,-3.184225636,36.51079557,-1.302407586,-15.86861982
-1.894442729,10.10645403,-0.013605399,3.691483616,-0.036113066,-3.19100949,36.0033986,-1.369274412,-15.86861982
-1.983908704,10.09998629,-0.012769142,3.690264381,-0.034324549,-3.197492593,35.49614128,-1.437208123,-15.86861982
-2.044457373,10.09351817,-0.011952799,3.690257285,-0.032393407,-3.203690451,34.98905264,-1.505192527,-15.86861982
-2.076283635,10.08705063,-0.011165208,3.691374108,-0.030342478,-3.209603702,34.48215891,-1.57248934,-15.86861982
-2.086500325,10.0805845,-0.010409701,3.693532893,-0.028189615,-3.215216356,33.9754784,-1.638686026,-15.86861982
-2.084257387,10.0741202,-0.011458542,3.704937004,-0.011664141,-3.294933948,33.46902074,-1.703634545,-15.03089952
-2.07741077,10.06765785,-0.009257876,3.701938484,-0.009544484,-3.297335091,32.96279656,-1.767186473,-14.86610208
-2.065909244,10.06119576,-0.006935809,3.69925289,-0.007300277,-3.299446965,32.45683601,-1.828828066,-14.86610208
-2.037946175,10.05473408,-0.00454821,3.697078599,-0.004983861,-3.301094796,31.95115934,-1.888329866,-14.8111696
-2.001961856,10.0482746,-0.002147525,3.695654642,-0.002643368,-3.30206666,31.44576911,-1.945822567,-14.8111696
-1.969327406,10.04181797,0.000223481,3.695228395,-0.000316902,-3.302143583,30.94065859,-2.001573788,-14.56397345
-1.944807091,10.03536411,0.002529912,3.696020826,0.001964997,-3.301130471,30.43581953,-2.055833781,-13.65758755
-1.928282904,10.02891235,0.004744103,3.69820355,0.00417807,-3.298874848,29.93126133,-2.10853044,-12.66880293
-1.909085221,10.02246091,0.00683911,3.70186605,0.006297345,-3.295296592,29.42702982,-2.159041258,-12.14694438
-1.867816762,10.0160089,0.008759551,3.707083771,0.008290676,-3.290404608,28.92318645,-2.206605667,-11.66628519
-1.798362129,10.0095578,0.010815627,3.712397401,0.010175115,-3.28445136,28.41977234,-2.250860668,-10.86976425
-1.713503091,10.00310917,0.011845773,3.728436626,0.012144343,-3.278259265,27.9168078,-2.291769087,-10.11444266
-1.624425175,9.996662923,0.013735309,3.73716797,0.0140426,-3.271223921,27.41431024,-2.329325311,-9.523918517
-1.532300048,9.990218649,0.015618041,3.746039136,0.01579218,-3.258167917,26.91229289,-2.363572455,-8.796063172
-1.43900257,9.983776565,0.017450567,3.755235677,0.017513903,-3.248180039,26.41076107,-2.394644459,-8.191805905
-1.348021365,9.977336712,0.019201245,3.764906631,0.019140279,-3.237601137,25.90971992,-2.422660041,-7.628747997
-1.258876587,9.970899152,0.020847939,3.775150541,0.020647941,-3.226341977,25.40917117,-2.447765799,-6.804760815
-1.172757373,9.964464048,0.022379057,3.786026209,0.022024824,-3.214357336,24.90911655,-2.470092624,-5.898374914
-1.089158575,9.958031143,0.023790488,3.797554944,0.023267589,-3.201645517,24.40957027,-2.489615348,-4.909590295
-1.001768372,9.951600169,0.025229431,3.808971727,0.024374778,-3.188251004,23.91055775,-2.506186417,-4.662394141
-0.90520899,9.94517114,0.02693285,3.819105417,0.025535133,-3.175099249,23.41210005,-2.519718412,-4.662394141
-0.801481906,9.938744787,0.028724183,3.828794419,0.026818375,-3.162513896,22.91417787,-2.530557633,-4.662394141
-0.709117853,9.932321629,0.030609388,3.838125592,0.028135033,-3.150029556,22.41673849,-2.539360179,-3.76974136
-0.64274742,9.925901455,0.032596947,3.847265126,0.029510933,-3.137605139,21.919734,-2.54667457,-1.778439002
-0.599378165,9.919483324,0.034679226,3.85643716,0.030966397,-3.125192151,21.42318332,-2.552342289,0.693522545
-0.547852466,9.913066105,0.036804344,3.865880895,0.032491218,-3.112781984,20.92719774,-2.555329051,0.707255665
-0.446039947,9.906649918,0.038865095,3.875835371,0.034034656,-3.100414189,20.43190916,-2.554496668,0.707255665
-0.285100671,9.900236787,0.040732047,3.88657962,0.035533199,-3.088103557,19.93732708,-2.549932274,0.707255665
-0.121131567,9.893827035,0.042319969,3.898494227,0.036964864,-3.075723286,19.44337036,-2.542514385,0.707255665
0.005857911,9.887419795,0.04023571,3.933331371,0.038342302,-3.063113146,18.94992998,-2.533291379,0.707255665
0.083476138,9.881014597,0.03960943,3.958895472,0.039657668,-3.050028756,18.45691008,-2.523123235,0.707255665
0.117359249,9.874611344,0.039091146,3.983523241,0.040915148,-3.036284999,17.96424743,-2.512542378,0.707255665
0.121845845,9.868210044,0.038730787,4.007119119,0.042096552,-3.021698569,17.4719132,-2.501769536,0.707255665
0.112291249,9.861810703,0.038567975,4.0295719,0.043170731,-3.006119006,16.97990414,-2.490810105,0.707255665
0.10025588,9.855413318,0.038635446,4.050758369,0.040757975,-2.970390521,16.48823037,-2.479565375,0.707255665
0.091843103,9.849017877,0.038964005,4.070546668,0.040548023,-2.946786325,15.99690505,-2.467916959,0.707255665
0.088453743,9.842624375,0.039586179,4.088802702,0.040446914,-2.923678795,15.50593853,-2.455770032,0.707255665
0.088718415,9.836232816,0.040537175,4.105401566,0.040461869,-2.901084849,15.01533672,-2.443061433,0.693522545
0.090456587,9.829843204,0.041867736,4.12019502,0.04060303,-2.879022462,14.52510215,-2.429749197,0.44632639
0.09189151,9.823455545,0.0435801,4.13322618,0.040895226,-2.857544143,14.03523288,-2.415819498,0.350194553
0.09061672,9.817069818,0.045711468,4.14449583,0.041328288,-2.836589215,13.54571937,-2.401307013,0.350194553
0.08255914,9.810686026,0.048261,4.154214143,0.041936596,-2.816196175,13.0565574,-2.386196603,0.350194553
0.070052851,9.80430419,0.051188346,4.162788246,0.042737772,-2.79635931,12.56775345,-2.370392281,0.350194553
0.057955064,9.797924313,0.054393712,4.170887994,0.043745053,-2.77706801,12.07932055,-2.353752453,0.350194553
0.0491111,9.791546389,0.057708417,4.179471315,0.044966247,-2.758290857,11.59127376,-2.336121315,0.350194553
0.044189862,9.785170411,0.060898838,4.189732186,0.046403712,-2.739967134,11.10362746,-2.317344008,0.350194553
0.042485728,9.778796374,0.063688867,4.202954422,0.048054044,-2.722001944,10.61639445,-2.297268586,0.350194553
0.042725389,9.772424276,0.048177238,4.318739273,0.049906329,-2.70426037,10.1295863,-2.275739439,0.350194553
0.043696821,9.766054116,0.045836189,4.363954955,0.051938976,-2.686560631,9.643214506,-2.252586929,0.350194553
0.044592236,9.759685891,0.043584638,4.40819319,0.054116848,-2.668673277,9.157291801,-2.227616655,0.350194553
0.045072945,9.753319601,0.041497192,4.451106836,0.056388991,-2.650324257,8.671833179,-2.20059983,0.350194553
0.045149969,9.746955245,0.039627055,4.492416355,0.058680459,-2.631175236,8.186856704,-2.171264518,0.350194553
0.044999832,9.74059282,0.038040108,4.531786646,0.06089895,-2.610871727,7.702384107,-2.139286413,0.350194553
0.044808832,9.734232324,0.036812947,4.568840112,0.062941777,-2.589080802,7.218441395,-2.104277453,0.693522545
0.044689448,9.727873757,0.036034825,4.60315227,0.064709244,-2.565545207,6.735063001,-2.065753962,2.190432593
0.046675766,9.721517133,0.035809668,4.634235835,0.054004167,-2.487106824,6.252311949,-2.023027023,2.932021057
0.064675835,9.715162572,0.036247238,4.661514159,0.053280186,-2.450899846,5.7702929,-1.975140611,3.673609522
0.121252632,9.708810309,0.037450095,4.684348495,0.052628777,-2.415365926,5.289102859,-1.921090434,4.23666743
0.208770333,9.702460457,0.039526264,4.702198201,0.052034561,-2.380572091,4.808819244,-1.859805497,4.978255894
0.311855698,9.696112918,0.042576268,4.714724003,0.051497458,-2.346577444,4.329507914,-1.790032169,7.03822385
0.416226383,9.689767605,0.046641362,4.722056276,0.051033362,-2.313440595,3.851254585,-1.710105709,9.510185397
0.524564463,9.683425313,0.051629452,4.725008605,0.050658121,-2.281244921,3.419135912,-1.63921477,12.2980087
0.666137028,9.677087619,0.057220642,4.725316945,0.050361473,-2.250129019,3.168492173,-1.650148076,15.09956512
0.863648243,9.670756272,0.062835484,4.725735046,0.050115269,-2.220263644,2.911842956,-1.659227427,16.87113756
1.123786523,9.664432657,0.067699282,4.729659477,0.049889139,-2.191837188,2.649639317,-1.666336225,17.76379034
1.430648373,9.658115683,0.062280765,4.791032162,0.049670278,-2.165023202,2.382391957,-1.671640892,17.76379034
1.739688981,9.651801268,0.060542836,4.828143559,0.04948739,-2.139928382,2.110604253,-1.675567908,19.50789654
2.000987391,9.645484552,0.059273466,4.860249898,0.049413176,-2.116579902,1.834704259,-1.678622605,20.00228885
2.189815908,9.639167413,0.058619554,4.8871564,0.049538861,-2.094948298,1.555023941,-1.681109788,20.00228885
2.33427862,9.632851922,0.05867788,4.908781429,0.049924756,-2.075016863,1.271841962,-1.683272401,20.00228885
2.44069694,9.626535816,0.059461473,4.925552645,0.050614679,-2.056675755,0.985371341,-1.685300109,20.00228885
