Inp_1,Inp_2,Inp_3,Inp_4,Inp_5,Inp_6,Inp_7,Inp_8,Leb
0.048688713,10.00344935,0.00162703,3.358924377,-0.016993262,-3.540772001,49.5294382,-1.362308909,-0.542458228
0.003141481,9.997008396,0.002047486,3.354232324,-0.017560098,-3.540192415,49.02974552,-1.363237629,-0.542458228
-0.035640089,9.990569456,0.002349058,3.350296398,-0.018071771,-3.539768121,48.53034472,-1.365304338,-0.542458228
-0.061564411,9.984132496,0.002507724,3.347165356,-0.018531911,-3.539562367,48.03125081,-1.367913847,-0.542458228
-0.074661647,9.977697511,0.00275546,3.342342081,-0.018760703,-3.541749993,47.53247492,-1.370638584,-0.46005951
-0.078290166,9.971264507,0.002646306,3.3406606,-0.019138651,-3.541947865,47.03402372,-1.373228977,-0.377660792
-0.07624598,9.96483348,0.002367689,3.339765258,-0.019473284,-3.54249347,46.53590172,-1.375519835,-0.363927672
-0.070359799,9.958404427,0.001926691,3.339592475,-0.019764001,-3.543419457,46.03811124,-1.377429864,-0.363927672
-0.062510045,9.951977349,0.00133447,3.340068017,-0.020009397,-3.54475094,45.54065147,-1.378992594,-0.363927672
-0.055339598,9.945552253,0.000605977,3.341115042,-0.020206495,-3.546502912,45.04351979,-1.380303516,-0.363927672
-0.050331836,9.939129138,-0.000241775,3.342655757,-0.020351682,-3.548682823,44.54671343,-1.381460288,-0.363927672
-0.047599648,9.932708001,-0.001191406,3.344612505,-0.020441815,-3.551292671,44.05023034,-1.38253349,-1.036850538
-0.04655003,9.926288841,-0.002226118,3.346908842,-0.020474753,-3.554330266,43.55406457,-1.383725682,-3.247882811
-0.050439063,9.91987169,-0.004485327,3.354754841,-0.021265209,-3.551586627,43.05818304,-1.386159402,-5.719844358
-0.082088228,9.9134568,-0.004005001,3.350191101,-0.021546523,-3.552385271,42.5625051,-1.392500038,-7.065690089
-0.180888049,9.907045074,-0.003311293,3.345226148,-0.021764028,-3.552749422,42.06693709,-1.405659494,-7.738612955
-0.355462874,9.900637401,-0.002395796,3.340300793,-0.02184356,-3.552598311,41.5714271,-1.426919909,-9.098191806
-0.567090172,9.89423309,-0.001282863,3.335780069,-0.021744328,-3.551919785,41.0759703,-1.455867128,-10.93842985
-0.77330577,9.887831408,-2.83E-05,3.331955788,-0.021462349,-3.550745147,40.58056798,-1.49183687,-12.25680934
-0.967032861,9.881433117,0.001314926,3.329100024,-0.020999487,-3.549080809,40.08520788,-1.534526107,-13.38292515
