Inp_1,Inp_2,Inp_3,Inp_4,Inp_5,Inp_6,Inp_7,Inp_8,Leb
1.038499107,9.364696668,-0.008568436,2.986317887,-0.026360153,-3.915735627,49.94347191,-0.474694127,4.071869993
0.84371938,9.358442574,-0.008865981,2.976298471,-0.02766935,-3.920276838,49.47599476,-0.442724926,2.739757382
0.685286581,9.352192536,-0.009133105,2.966612402,-0.028827313,-3.925088526,49.00876833,-0.416438731,0.789654383
0.567138484,9.345944985,-0.009419438,2.957338855,-0.029861939,-3.930211867,48.54180451,-0.395286074,-1.023117418
0.459437002,9.339698969,-0.009742098,2.948576909,-0.030582675,-3.937858618,48.07510172,-0.380248924,-2.108033875
0.328234448,9.333455096,-0.010083025,2.940436468,-0.031357268,-3.94333762,47.6086548,-0.372657598,-2.767223621
0.164687513,9.327214606,-0.010185579,2.930654173,-0.031951,-3.948995715,47.14246301,-0.372908634,-3.412680247
-0.011263589,9.320977672,-0.010441057,2.923835013,-0.032348262,-3.954814161,46.67653042,-0.380268313,-3.687342641
-0.174151691,9.314748596,-0.010678231,2.917755732,-0.032556711,-3.96079728,46.21086279,-0.393361151,-4.140535592
-0.308558034,9.308550591,-0.010913374,2.912386951,-0.032598358,-3.966953101,45.74546609,-0.410526921,-5.17051957
-0.406761877,9.302413086,-0.011168429,2.907684237,-0.032502728,-3.973294421,45.28034335,-0.430588158,-6.227969787
-0.478935316,9.296288787,-0.011455758,2.903616345,-0.032290973,-3.979812741,44.81549224,-0.453408378,-6.804760815
-0.549061892,9.290170331,-0.011766418,2.900181459,-0.031963614,-3.986464317,44.35090248,-0.479417696,-7.05195697
-0.630849795,9.284102388,-0.012079477,2.897381157,-0.031509552,-3.993198348,43.88656284,-0.508760961,-7.120622568
-0.717969842,9.278128448,-0.014180222,2.902933304,-0.030923693,-3.999985152,43.42237557,-0.540990144,-7.312886244
-0.796148624,9.277912137,-0.013234344,2.895987804,-0.031047801,-4.00024067,42.95770136,-0.575269105,-7.615014878
-0.85526509,9.295019373,-0.012112518,2.888834146,-0.030649639,-4.003817626,42.49161208,-0.610839419,-7.875944152
-0.896456733,9.329488644,-0.010869037,2.881646917,-0.030236276,-4.006842409,42.02332153,-0.647259483,-8.123140307
-0.92720908,9.37763244,-0.009554006,2.874621299,-0.029810647,-4.009372435,41.55225819,-0.684350058,-8.315403983
-0.95410628,9.435649256,-0.008211569,2.867954541,-0.029369387,-4.011462879,41.07803312,-0.722084542,-8.43900206
-0.981222598,9.50056548,-0.00687958,2.861831221,-0.028904936,-4.01317065,40.60038609,-0.760454209,-8.45273518
-1.009224081,9.570283358,-0.005590382,2.856409929,-0.028408456,-4.01455826,40.11914117,-0.799361915,-8.45273518
-1.035889731,9.643380704,-0.004371731,2.851814458,-0.027872364,-4.015695556,39.63417465,-0.838579742,-8.45273518
-1.057653985,9.718938349,-0.003247131,2.84812987,-0.027291574,-4.016659435,39.14539292,-0.87783349,-8.45273518
-1.072957146,9.796347782,-0.002233939,2.845406967,-0.026661847,-4.017528024,38.65271856,-0.916887638,-8.45273518
-1.082457075,9.875244394,-0.001341945,2.843666961,-0.026238345,-4.014376278,38.1560799,-0.955585001,-8.45273518
-1.087975878,9.955452001,-0.000573325,2.842906501,-0.025557311,-4.014528323,37.65540487,-0.993847951,-8.45273518
-1.091516828,10.0369227,7.63E-05,2.843103306,-0.02480467,-4.014837014,37.15061834,-1.031656953,-8.45273518
-1.094628021,10.11966029,0.000615954,2.844222022,-0.023970614,-4.015360696,36.64164505,-1.069022274,-8.45273518
-1.098163764,10.20359959,0.000905864,2.84931048,-0.023045357,-4.016145233,36.12841914,-1.105960312,-8.809796292
-1.102360639,10.28843113,0.001053906,2.853539423,-0.022019966,-4.017221594,35.61091147,-1.142554903,-9.771114672
-1.109263239,10.37279073,0.001131061,2.858537184,-0.020885031,-4.018598628,35.08923384,-1.179262134,-10.2105745
-1.13008355,10.45204045,0.001163571,2.86428192,-0.019622934,-4.020240302,34.56359811,-1.216934694,-10.84229801
-1.177479382,10.53021882,0.001188714,2.870776989,-0.01820697,-4.02206539,34.03397746,-1.256155056,-11.58388647
-1.244517296,10.60497289,-0.000293733,2.884556499,-0.01661838,-4.023991001,33.50080534,-1.297287885,-12.42160678
-1.325625531,10.66679413,0.001126954,2.886805331,-0.000372433,-4.104759867,32.96486934,-1.340589269,-13.67132067
-1.418090357,10.71079221,0.002743911,2.889320194,0.001496671,-4.104145777,32.42710985,-1.386325909,-15.05836576
-1.522616735,10.73632149,0.004532426,2.892354697,0.003593664,-4.103282537,31.88828008,-1.434977478,-15.55275807
-1.646289623,10.74936194,0.006471046,2.89619549,0.005863613,-4.101670641,31.34881705,-1.48693598,-15.60769055
-1.786902951,10.75481479,0.00853715,2.90111829,0.008249091,-4.098831199,30.80898299,-1.54180789,-15.62142367
-1.918878739,10.75564873,0.010689674,2.907324081,0.010679079,-4.094403693,30.26895396,-1.598539117,-15.77248798
-2.018981326,10.75366276,0.012873777,2.914944884,0.013078534,-4.08816263,29.72885404,-1.655971375,-16.03341726
-2.081719746,10.74994681,0.015038072,2.924063614,0.015387506,-4.080002472,29.18876729,-1.71327643,-16.04715038
-2.116823052,10.74515949,0.017263535,2.934260179,0.017574268,-4.069915526,28.64874924,-1.770018372,-16.04715038
-2.137242523,10.73969575,0.019651225,2.945166946,0.019812407,-4.058729743,28.10884511,-1.825918013,-16.04715038
-2.148398991,10.73378963,0.022070476,2.95730264,0.020569206,-4.032441386,27.56909534,-1.880794798,-16.04715038
-2.153892649,10.72758792,0.024495041,2.970769885,0.023141767,-4.018986203,27.02953563,-1.93454166,-16.11581598
-2.156421064,10.72120294,0.027254625,2.989934099,0.025768829,-4.004769767,26.49019589,-1.987105289,-16.11581598
-2.157939637,10.7147078,0.02946855,3.00831858,0.028388131,-3.989458437,25.95109924,-2.03847991,-16.11581598
-2.160195805,10.70814675,0.03165728,3.027809218,0.030954625,-3.972802625,25.41226521,-2.088642968,-16.11581598
-2.162464906,10.70154648,0.033811766,3.048462078,0.033439417,-3.954644368,24.8737099,-2.137555815,-16.11581598
-2.164000083,10.69492324,0.035931561,3.070293875,0.035828325,-3.934905332,24.33544537,-2.185177737,-16.11581598
-2.164585328,10.68828688,0.038247259,3.092265191,0.038119375,-3.913569007,23.79747971,-2.231473972,-16.11581598
-2.164364977,10.68164341,0.040856541,3.113998034,0.040593612,-3.891973002,23.25981767,-2.276418099,-16.11581598
-2.163646532,10.67499648,0.043666471,3.135959009,0.043320353,-3.870350903,22.72246161,-2.319990412,-16.11581598
-2.162736283,10.66834831,0.046688171,3.158171416,0.046177933,-3.848070983,22.1854127,-2.362174446,-16.11581598
