Inp_1,Inp_2,Inp_3,Inp_4,Inp_5,Inp_6,Inp_7,Inp_8,Leb
-0.029210618,9.824434153,0.019921478,3.813454277,0.002165899,-3.094225981,49.90678887,-2.745548224,-0.226596475
-0.029245895,9.818048157,0.020553601,3.816711851,0.001664369,-3.085077455,49.41606541,-2.745551249,-0.226596475
-0.029219601,9.811664109,0.021038081,3.820711528,0.001176323,-3.076055961,48.92566291,-2.745514395,-0.226596475
-0.029172827,9.805282007,0.021350844,3.82556975,0.000708993,-3.067214593,48.43558132,-2.745437237,-0.226596475
-0.029131364,9.79890185,0.021478349,3.831348786,0.000268869,-3.058599659,47.94582054,-2.74531974,-0.226596475
-0.029104978,9.792523636,0.021774654,3.835037284,-0.000138368,-3.050250382,47.4563805,-2.745161755,-0.226596475
-0.029092184,9.786147363,0.021581035,3.842492885,-0.00033176,-3.044230828,46.96726114,-2.744962821,-0.226596475
-0.029086614,9.779773032,0.021200847,3.850857894,-0.000668043,-3.036330625,46.47846241,-2.744722174,-0.226596475
-0.029082055,9.773400639,0.020645945,3.860064697,-0.000960136,-3.028768979,45.98998429,-2.744438878,-0.226596475
-0.029074967,9.767030183,0.019930798,3.870032694,-0.001205482,-3.021559557,45.50182674,-2.74411194,-0.226596475
-0.029064705,9.760661663,0.019071448,3.880673698,-0.001402176,-3.014710777,45.01398973,-2.743740386,-0.226596475
-0.029052433,9.754295077,0.018084746,3.891895926,-0.001548894,-3.008226464,44.52647323,-2.743323273,-0.226596475
-0.029039777,9.747930424,0.016987811,3.903606812,-0.001644806,-3.002106512,44.03927722,-2.742859666,-0.226596475
-0.029027891,9.741567703,0.015797665,3.915714906,-0.001689503,-2.996347516,43.55240165,-2.742348601,-0.226596475
-0.02901714,9.735206911,0.012911656,3.936083563,-0.002574215,-2.984590677,43.06584651,-2.741789059,-0.281528954
-0.029007263,9.728848048,0.013376084,3.939832237,-0.002865701,-2.977054237,42.57961102,-2.741192869,-0.46005951
-0.029319158,9.722491114,0.014007379,3.942686008,-0.003176529,-2.969340031,42.09368998,-2.740645844,-0.707255665
-0.031826395,9.716136112,0.014744069,3.944989592,-0.003498395,-2.961498037,41.60807006,-2.740366309,-0.872053101
-0.039977233,9.709783052,0.015526305,3.947097858,-0.003819528,-2.953574243,41.1227337,-2.740633223,-0.9407187
-0.055534547,9.703431941,0.016300226,3.949341346,-0.004126258,-2.945613623,40.63766975,-2.74160944,-0.9407187
-0.075750308,9.697082767,0.017018591,3.951994858,-0.00440708,-2.937666722,40.15287924,-2.743256283,-1.132982376
-0.095487503,9.690735506,0.017641461,3.955262006,-0.004654858,-2.929790402,39.66837074,-2.745418432,-1.696040284
-0.111597596,9.684390164,0.018138844,3.959276777,-0.004865201,-2.922041963,39.1841414,-2.748127678,-2.492561227
-0.1289439,9.678046814,0.018497062,3.964123661,-0.005029552,-2.914463345,38.70016087,-2.751840359,-3.096818494
-0.159108386,9.671705589,0.018722963,3.969856846,-0.005129412,-2.907071228,38.21637957,-2.757281097,-3.165484092
-0.209991025,9.665366591,0.018664578,3.980207464,-0.005139703,-2.899866176,37.73276313,-2.764903646,-3.165484092
-0.274897121,9.65902966,0.018435727,3.98956836,-0.005041705,-2.892857101,37.24932049,-2.77449061,-3.165484092
-0.335470285,9.652694496,0.018125843,3.999732517,-0.004833395,-2.886074163,36.76608977,-2.785410634,-3.165484092
-0.379656486,9.646360983,0.017736145,4.010609486,-0.004759612,-2.876079527,36.28311614,-2.796967501,-3.165484092
-0.404808694,9.640029179,0.017266256,4.022105311,-0.004413293,-2.869261748,35.80043716,-2.808609334,-3.165484092
-0.414340723,9.633699181,0.016718764,4.034128972,-0.003985818,-2.862780108,35.31807664,-2.820002398,-3.165484092
-0.414144863,9.627371051,0.016101007,4.046593983,-0.003482701,-2.856639985,34.83604486,-2.83101036,-3.165484092
-0.409869537,9.621044806,0.015424781,4.059417744,-0.002905398,-2.850836993,34.3543427,-2.841626734,-3.165484092
-0.405409463,9.614720444,0.014704975,4.072519925,-0.002252857,-2.845357429,33.87296642,-2.851901743,-3.165484092
