Inp_1,Inp_2,Inp_3,Inp_4,Inp_5,Inp_6,Inp_7,Inp_8,Leb
-0.137540413,10.18562228,0.011967206,2.971784689,-0.006107199,-3.928690129,49.73487797,-1.565618744,-1.105516136
-0.135269176,10.17912463,0.012547627,2.972640774,-0.006583343,-3.9221552,49.22594784,-1.571175444,-1.105516136
-0.138134793,10.17262901,0.012993568,2.974166513,-0.007037761,-3.915756868,48.71733788,-1.576818029,-1.105516136
-0.141982074,10.16613543,0.013289092,2.976434859,-0.007460764,-3.909563806,48.20904956,-1.582492369,-1.105516136
-0.144657424,10.15964389,0.013424849,2.979479308,-0.007657533,-3.905795729,47.70108508,-1.588124801,-1.105516136
-0.145670411,10.15315439,0.01363874,2.980890465,-0.008008663,-3.899988069,47.19344601,-1.593663591,-1.105516136
-0.145482818,10.14666691,0.013505442,2.985329475,-0.008312805,-3.894529145,46.68613295,-1.599089153,-1.105516136
-0.144824093,10.14018147,0.013214281,2.990508681,-0.008565737,-3.889451084,46.17914573,-1.604405503,-1.105516136
-0.144254198,10.13369805,0.012776273,2.996371872,-0.008763731,-3.884777595,45.67248384,-1.609626019,-1.105516136
-0.144012219,10.12721665,0.012204528,3.002854496,-0.008903746,-3.880524614,45.16614683,-1.614762241,-1.105516136
-0.144069747,10.12073727,0.011513255,3.009887358,-0.008983557,-3.876701096,44.66013446,-1.619818892,-1.778439002
-0.144269803,10.11425991,0.010717093,3.017399252,-0.009001755,-3.873309927,44.15444105,-1.624963217,-3.577477684
-0.148520805,10.10778466,0.009834282,3.025328468,-0.008954061,-3.870339747,43.64903127,-1.631225891,-5.403982605
-0.17796324,10.10131187,0.007570027,3.039531481,-0.008818052,-3.86772944,43.14382697,-1.640814378,-6.337834745
-0.262429177,10.09484217,0.008161812,3.041585264,-0.009639472,-3.856905278,42.63874506,-1.655919247,-6.914625772
-0.403503553,10.08837582,0.009009414,3.043352794,-0.009665769,-3.850900729,42.1337449,-1.677355603,-7.889677272
-0.568677104,10.08191213,0.010077987,3.045166654,-0.009565065,-3.844331618,41.62882713,-1.704702841,-9.276722362
-0.727271401,10.07545065,0.011305527,3.047329986,-0.009334256,-3.837243119,41.12399883,-1.737358653,-9.784847791
-0.874074311,10.06899196,0.012629966,3.050139351,-0.008974235,-3.829665764,40.61925879,-1.774936321,-9.867246509
-1.014036665,10.06253587,0.014001896,3.053861805,-0.008481151,-3.821620211,40.11462548,-1.816553164,-10.45777066
-1.133870863,10.05608121,0.015370881,3.058671025,-0.007862667,-3.813166889,39.61013496,-1.860977519,-11.61135271
-1.223686536,10.04962786,0.016689011,3.06466539,-0.007135183,-3.804384071,39.10580409,-1.907546072,-12.14694438
-1.2977425,10.0431772,0.017931418,3.071921332,-0.006302805,-3.795319127,38.60161741,-1.956363318,-12.14694438
-1.376442508,10.03672938,0.019100172,3.080499367,-0.005352156,-3.785989294,38.09756492,-2.0073746,-12.14694438
-1.455730072,10.0302829,0.020200787,3.090400379,-0.004274094,-3.776430767,37.59366375,-2.059965222,-12.14694438
-1.520120668,10.02383678,0.021230034,3.101572918,-0.003374608,-3.762308003,37.08994646,-2.113297098,-12.2293431
-1.56266145,10.01739117,0.022007596,3.11731784,-0.00212071,-3.751816957,36.58644652,-2.166626892,-12.80613413
-1.585055388,10.01094678,0.022648421,3.132386238,-0.000765958,-3.741280784,36.08318181,-2.219591227,-13.57518883
-1.597447645,10.00450496,0.023211883,3.148502451,0.000685686,-3.730706502,35.58013516,-2.272481949,-13.75371939
-1.618735812,9.998066817,0.023720697,3.165633642,0.002245567,-3.720060578,35.07726789,-2.325903221,-13.75371939
-1.658724331,9.991631519,0.024205561,3.183756972,0.003932261,-3.709290597,34.57456117,-2.380047242,-13.75371939
-1.705925948,9.985197488,0.024686533,3.20282229,0.005752891,-3.698358676,34.07202387,-2.434645641,-13.75371939
-1.746599561,9.978764159,0.02324219,3.231446453,0.00770125,-3.687229381,33.56968052,-2.489231598,-13.75371939
-1.774169809,9.972331798,0.025081927,3.246049882,0.024338575,-3.752908699,33.06755914,-2.543348733,-13.75371939
-1.788235888,9.96590089,0.027067737,3.260817687,0.026341199,-3.738729041,32.56568319,-2.596661538,-13.75371939
-1.791999901,9.959471796,0.029157816,3.275934934,0.028457764,-3.72424123,32.06406794,-2.648983831,-13.64385443
-1.789884621,9.953044675,0.031309244,3.291611122,0.030639122,-3.709195178,31.56272221,-2.700232584,-12.90226596
