Inp_1,Inp_2,Inp_3,Inp_4,Inp_5,Inp_6,Inp_7,Inp_8,Leb
0.199074225,10.32979666,0.007587395,3.652178507,-0.010589722,-3.251634924,49.7180757,-1.93776113,0.693522545
0.180006579,10.32472657,0.007968511,3.649522445,-0.011315454,-3.248474962,49.20236345,-1.929630215,0.363927672
0.155419224,10.31915078,0.008203228,3.647637416,-0.012001229,-3.245535278,48.68685326,-1.922797336,0.267795834
0.12780814,10.31323982,0.008274585,3.646624817,-0.012635977,-3.242865854,48.17156148,-1.917363709,0.267795834
0.097400723,10.30706239,0.008460395,3.643830379,-0.013209824,-3.240504296,47.65652005,-1.913187479,0.212863355
0.069601467,10.30053104,0.008251585,3.644465458,-0.013540272,-3.240532857,47.14175799,-1.909930161,0.185397116
0.048944844,10.29400004,0.007864992,3.64601148,-0.013994485,-3.238715153,46.62729597,-1.907266197,0.034332799
0.035366818,10.28747008,0.007306334,3.648400687,-0.014387511,-3.237303304,46.11314932,-1.904976291,-0.199130236
0.026634129,10.28094153,0.006586565,3.651551212,-0.014720161,-3.236315775,45.59932252,-1.903071183,-0.363927672
0.017497998,10.27441461,0.00572321,3.655379548,-0.014989472,-3.235757053,45.08581072,-1.901741487,-0.542458228
0.003653688,10.26788948,0.004738565,3.659802489,-0.015189434,-3.235621481,44.57260692,-1.901170652,-0.803387503
-0.014935501,10.26136624,0.003655264,3.664733924,-0.015314645,-3.235900509,44.05970369,-1.901504554,-0.885786221
-0.037548313,10.25484497,0.002495183,3.67009016,-0.015360879,-3.236580387,43.54709386,-1.902848624,-1.105516136
-0.063321505,10.24832572,-5.55E-05,3.682120451,-0.016197888,-3.231246494,43.03477568,-1.905154986,-2.918287938
-0.08855662,10.24180851,0.000475491,3.679524617,-0.01647267,-3.229803503,42.52273087,-1.908780021,-5.912108034
-0.12327857,10.23529359,0.001190194,3.676224289,-0.016739574,-3.228069432,42.01087131,-1.915749822,-8.384069581
-0.209899743,10.22878186,0.00206443,3.672708836,-0.016945096,-3.225988252,41.49904774,-1.929415319,-9.029526207
-0.384159472,10.22227488,0.00310613,3.669520118,-0.017003674,-3.223447809,40.98713782,-1.95222996,-9.029526207
-0.626313484,10.21577238,0.004313531,3.667112092,-0.016846559,-3.22038201,40.4751276,-1.98391333,-9.029526207
-0.86758287,10.20927152,0.005636589,3.665765345,-0.016465085,-3.21683209,39.96309515,-2.022117086,-9.111924926
-1.053004114,10.20277048,0.0069908,3.665634426,-0.015898738,-3.212891326,39.45115269,-2.06397403,-9.606317235
-1.16604313,10.1962696,0.008290788,3.666799946,-0.015201609,-3.208654077,38.93939644,-2.107245792,-11.08949416
-1.220620385,10.18977038,0.009475657,3.669297713,-0.014415827,-3.204193681,38.42786231,-2.151124672,-12.68253605
-1.253771589,10.18327498,0.010527117,3.673154737,-0.013551435,-3.199537844,37.91650015,-2.196513815,-12.90226596
-1.312532146,10.17678474,0.011376208,3.681454879,-0.01257779,-3.194653665,37.40522464,-2.244818372,-12.90226596
-1.412550369,10.17029774,0.012017276,3.689934135,-0.011451328,-3.189504676,36.89400389,-2.296282897,-12.90226596
-1.52287744,10.16381101,0.012627211,3.699754284,-0.010440961,-3.180027959,36.38286341,-2.350120698,-12.90226596
-1.614203773,10.15732363,0.013206911,3.710815997,-0.009043379,-3.173827425,35.87185798,-2.405158215,-12.90226596
-1.67402743,10.15083629,0.013746426,3.723017707,-0.007509227,-3.167486655,35.36104659,-2.460304869,-12.90226596
-1.703096012,10.14435006,0.014236001,3.736264897,-0.005862139,-3.16101204,34.85047604,-2.51479217,-12.58640421
-1.709640942,10.13786567,0.014672477,3.750470133,-0.004119707,-3.154393804,34.34017845,-2.568157563,-11.92721447
-1.702123501,10.13138289,0.015059652,3.765545141,-0.00229331,-3.147613363,33.83018867,-2.619944531,-11.185626
-1.680365091,10.1249008,0.013820564,3.788855922,0.013983564,-3.21419158,33.32055612,-2.669541761,-10.60883497
-1.63910631,10.118419,0.015726454,3.797619632,0.015715318,-3.204486923,32.81133464,-2.716349752,-10.52643626
-1.577906378,10.11193816,0.017718852,3.80636301,0.017511174,-3.194668173,32.30255751,-2.760107223,-9.922178988
-1.506682393,10.10545974,0.019739765,3.815340767,0.019326276,-3.184565594,31.79422434,-2.801007389,-9.35912108
-1.439762976,10.09898383,0.021738475,3.824849117,0.021126643,-3.173987574,31.2863382,-2.839171751,-9.290455482
-1.375044612,10.09250985,0.023662172,3.835157158,0.022877634,-3.162773134,30.77890158,-2.874716353,-9.029526207
-1.312538932,10.08603835,0.025463331,3.84649694,0.024548601,-3.150784634,30.27189633,-2.907990436,-8.45273518
-1.260269528,10.07956954,0.02711191,3.859053305,0.026122206,-3.137902868,29.76530831,-2.939261914,-7.807278553
-1.215891945,10.07310274,0.028589789,3.872919017,0.027586955,-3.124061639,29.2591491,-2.968487105,-6.406500343
-1.168865048,10.06663748,0.029880128,3.888084631,0.028930726,-3.109257996,28.75346095,-2.995294752,-5.14305333
-1.107321255,10.06017306,0.029490422,3.918047843,0.030219089,-3.093874518,28.24833086,-3.018870482,-4.909590295
-1.014360523,10.05370961,0.030869155,3.935023063,0.031578647,-3.078530727,27.74383528,-3.038582033,-4.319066148
-0.894986582,10.0472488,0.032282651,3.951414385,0.032848439,-3.062736006,27.23997859,-3.054577288,-3.673609522
-0.777002649,10.0407912,0.033678777,3.967496712,0.034018949,-3.046456532,26.73673448,-3.0672787,-3.673609522
-0.671133662,10.03433632,0.035020716,3.983513349,0.035535698,-3.026560534,26.23406432,-3.077187905,-3.673609522
-0.581443029,10.02788415,0.036284423,3.999665782,0.03640622,-3.007623848,25.73190095,-3.085044103,-3.508812085
-0.518331115,10.02143467,0.037465458,4.016132156,0.037175758,-2.988265481,25.23017586,-3.091548114,-3.440146487
-0.481738393,10.01498755,0.03856927,4.033044433,0.037857243,-2.968427275,24.72884478,-3.097134046,-3.426413367
-0.462238038,10.00854258,0.039600851,4.050488209,0.038463553,-2.94809417,24.22788329,-3.102035971,-3.426413367
-0.452366293,10.00209973,0.040834813,4.067150607,0.038963678,-2.927099462,23.72727893,-3.106372766,-3.412680247
-0.447644952,9.995658985,0.042419167,4.082425836,0.039775384,-2.907176641,23.22702668,-3.110193857,-3.357747768
-0.445305435,9.989220328,0.044190038,4.097223868,0.040685925,-2.887367337,22.72712682,-3.113499996,-3.165484092
-0.4433776,9.9827837,0.04612724,4.111745416,0.041700674,-2.867654168,22.22758606,-3.11623662,-2.492561227
-0.439499105,9.976349005,0.048190646,4.126278457,0.042821471,-2.848012987,21.72842768,-3.118214072,-2.272831312
-0.427473445,9.969915996,0.05031451,4.141188483,0.044042675,-2.828420162,21.22969751,-3.119073027,-2.259098192
-0.398925951,9.963484775,0.052405942,4.156898455,0.045348739,-2.808854239,20.73142101,-3.118642665,-2.025635157
-0.361786338,9.957055646,0.054364521,4.173886225,0.046727595,-2.789256764,20.2335951,-3.116980292,0.844586862
-0.326646652,9.950628628,0.056093898,4.192618494,0.048172051,-2.769537857,19.73625357,-3.113849659,2.410162509
-0.279249852,9.944202989,0.05287625,4.244294688,0.049657539,-2.749631058,19.23955981,-3.108062106,2.574959945
-0.170395314,9.937779303,0.052455062,4.276928039,0.051121419,-2.729586994,18.74364468,-3.098765969,5.307850767
-0.013003507,9.931358681,0.052063592,4.30821656,0.052475917,-2.709300379,18.2485427,-3.085844189,6.626230259
0.157668983,9.924941301,0.05172102,4.337955838,0.053688167,-2.688692141,17.75432242,-3.068916245,6.873426413
0.356591697,9.918527654,0.051436177,4.365856859,0.054696408,-2.667731257,17.26099061,-3.048047397,9.262989242
0.560407585,9.91211694,0.051239315,4.391702827,0.055456124,-2.646342898,16.76848253,-3.023767109,11.41908904
0.742654175,9.905709413,0.05118505,4.415325497,0.055945612,-2.624448992,16.27680383,-2.996081973,12.07827878
0.931872629,9.899306695,0.051303098,4.43648576,0.052829342,-2.584051693,15.78598142,-2.964865354,13.21812772
1.136500028,9.892907869,0.05161236,4.454994432,0.051779938,-2.556263543,15.29597504,-2.930437236,14.23437858
1.33050818,9.88651136,0.052147711,4.47079339,0.050665331,-2.529630833,14.80672301,-2.893224301,14.27557794
