Inp_1,Inp_2,Inp_3,Inp_4,Inp_5,Inp_6,Inp_7,Inp_8,Leb
0.269058817,12.18747797,0.000192051,3.07658575,-0.017897656,-3.824140064,49.65513101,-1.031800506,1.87457084
0.266848349,12.18030933,0.000494832,3.069940655,-0.018847103,-3.82400773,49.04656157,-1.01906695,1.87457084
0.265393623,12.17314323,0.000594078,3.064076007,-0.019766764,-3.82429778,48.43834668,-1.006488789,1.87457084
0.264859002,12.16597967,0.000465546,3.059087358,-0.020642747,-3.825126002,47.83048795,-0.994038176,1.87457084
0.264969025,12.15881866,0.000328659,3.052613505,-0.021282923,-3.828584408,47.22298629,-0.981704479,1.87457084
0.265342647,12.1516602,-0.000201621,3.049211848,-0.022050045,-3.830520828,46.61584198,-0.96948948,1.87457084
0.265688699,12.14450429,-0.000955753,3.046629762,-0.022744161,-3.833222307,46.00905491,-0.957400358,1.87457084
0.265868601,12.13735092,-0.001913279,3.044761286,-0.023358586,-3.836732573,45.4026247,-0.945444179,1.87457084
0.265872224,12.13020009,-0.003050354,3.043486259,-0.023888384,-3.84108012,44.79655086,-0.933625161,1.87457084
0.265759085,12.12305181,-0.004341571,3.04267863,-0.024330177,-3.846280359,44.1908329,-0.921944324,1.599908446
0.265603057,12.11590608,-0.00576112,3.042211899,-0.024681896,-3.852337841,43.58546888,-0.910479309,0.679789425
0.263538534,12.10876284,-0.008377922,3.046760386,-0.025681045,-3.853487304,42.98044849,-0.899749725,-0.02059968
0.248574512,12.10162198,-0.008117637,3.038490011,-0.026346709,-3.85722461,42.37574988,-0.890884575,-0.46005951
0.204893583,12.09448359,-0.007664874,3.029434052,-0.027009496,-3.860689018,41.77135469,-0.884815447,-2.451361868
0.1361973,12.08734787,-0.007095456,3.020109185,-0.027632782,-3.863966255,41.16724755,-0.882292701,-4.23666743
0.046010484,12.08021488,-0.00648224,3.011001371,-0.028181512,-3.867145331,40.56339392,-0.884990336,-4.662394141
-0.090604457,12.07308507,-0.005859856,3.002586156,-0.028597451,-3.870249112,39.95976304,-0.894216053,-5.500114443
-0.265985285,12.06595846,-0.005247296,2.995209133,-0.028828371,-3.873322667,39.35635228,-0.909689034,-7.395284962
-0.439360866,12.05883454,-0.004676035,2.989039186,-0.028857803,-3.876473482,38.75316255,-0.930873709,-9.592584115
-0.603534771,12.05171374,-0.004163428,2.984178157,-0.028676054,-3.879773134,38.15017189,-0.958200341,-11.08949416
-0.784395614,12.04459703,-0.00368834,2.980723189,-0.028552791,-3.878759065,37.54734192,-0.9925777,-11.35042344
-0.996088512,12.03748455,-0.003206572,2.978741931,-0.027918088,-3.881436183,36.94464768,-1.034039892,-11.58388647
-1.215477235,12.0303745,-0.002688318,2.978224902,-0.026973871,-3.884269468,36.34209885,-1.081134201,-12.72373541
