['0.20912', '12.69911', '0.02208', '4.47809', '0.00150', '-2.41683', '48.64049', '-3.35735'] 0.01121538108888889
['0.17479', '12.69212', '0.02235', '4.48384', '0.00076', '-2.40626', '48.00665', '-3.34828'] 0.01121538108888889
['0.15294', '12.68512', '0.02225', '4.49153', '0.00009', '-2.39616', '47.37313', '-3.33970'] 0.01121538108888889
['0.14223', '12.67813', '0.02178', '4.50113', '-0.00034', '-2.38869', '46.73996', '-3.33128'] 0.01121538108888889
['0.13926', '12.67115', '0.02095', '4.51250', '-0.00089', '-2.37948', '46.10714', '-3.32283'] 0.01121538108888889
['0.14040', '12.66416', '0.01979', '4.52541', '-0.00137', '-2.37087', '45.47467', '-3.31431'] 0.01121538108888889
['0.14284', '12.65718', '0.01835', '4.53962', '-0.00178', '-2.36288', '44.84257', '-3.30572'] 0.01121538108888889
['0.14492', '12.65020', '0.01667', '4.55487', '-0.00211', '-2.35551', '44.21081', '-3.29711'] 0.011673151755555557
['0.14604', '12.64322', '0.01480', '4.57090', '-0.00236', '-2.34876', '43.57941', '-3.28850'] 0.015030136566666666
['0.14656', '12.63624', '0.01055', '4.59917', '-0.00348', '-2.33633', '42.94838', '-3.27978'] 0.020523384455555557
['0.14972', '12.62927', '0.01109', '4.60192', '-0.00400', '-2.32799', '42.31773', '-3.27050'] 0.023270008388888888
['0.16389', '12.62230', '0.01194', '4.60264', '-0.00456', '-2.31954', '41.68752', '-3.26007'] 0.023270008388888888
['0.19386', '12.61533', '0.01293', '4.60225', '-0.00516', '-2.31111', '41.05776', '-3.24822'] 0.023270008388888888
['0.23137', '12.60836', '0.01390', '4.60164', '-0.00580', '-2.30283', '40.42845', '-3.23518'] 0.023270008388888888
['0.26427', '12.60140', '0.01470', '4.60157', '-0.00644', '-2.29482', '39.79955', '-3.22136'] 0.023270008388888888
['0.28711', '12.59444', '0.01524', '4.60256', '-0.00708', '-2.28717', '39.17103', '-3.20716'] 0.023270008388888888
['0.29973', '12.58748', '0.01542', '4.60817', '-0.00769', '-2.28000', '38.54288', '-3.19287'] 0.023270008388888888
['0.30457', '12.58052', '0.01499', '4.61468', '-0.00824', '-2.27340', '37.91508', '-3.17865'] 0.023270008388888888
['0.30477', '12.57357', '0.01426', '4.62251', '-0.00872', '-2.26747', '37.28762', '-3.16457'] 0.023270008388888888
['0.30304', '12.56661', '0.01327', '4.63147', '-0.00912', '-2.26229', '36.66050', '-3.15062'] 0.023270008388888888
['0.30114', '12.55966', '0.01205', '4.64137', '-0.00941', '-2.25790', '36.03373', '-3.13678'] 0.022354467077777777
['0.29989', '12.55271', '0.01063', '4.65196', '-0.00961', '-2.25436', '35.40731', '-3.12304'] 0.0160982681
['0.29882', '12.54577', '0.00907', '4.66304', '-0.00996', '-2.24784', '34.78121', '-3.10956'] 0.008468757155555555
['0.29226', '12.53882', '0.00741', '4.67440', '-0.00998', '-2.24537', '34.15540', '-3.09696'] 0.004196231022222222
['0.26682', '12.53188', '0.00569', '4.68587', '-0.00984', '-2.24374', '33.52981', '-3.08594'] 0.0034332799222222222
